Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth
Joshua Axelrod,A Private War,Blindspotting,Roma,The Favourite,Won't You Be My Neighbor?,Sorry to Bother You,The Hate U Give,Black Panther,Eighth Grade,Anna and the Apocalypse
Film Comment,Zama,Burning,First Reformed,Roma,Western,Shoplifters,Let the Sunshine In,The Other Side of the Wind,Happy as Lazzaro,"Hale County This Morning, This Evening"
Ken Bakely,First Reformed,Paddington 2,The Favourite,Widows,You Were Never Really Here,Leave No Trace,Support the Girls,The Wild Boys,Black Panther,Shirkers
Blake Crane,Annihilation,The Rider,Roma,First Reformed,Suspiria,Hereditary,Burning,Revenge,Mandy,First Man
Chris Luciantonio,Shoplifters,Hereditary,You Were Never Really Here,The Favourite,Burning,Spider-Man: Into the Spider-Verse,River's Edge,Suspiria,Blindspotting,Shirkers
Mynt Marsellus,Disobedience,Blindspotting,Spider-Man: Into the Spider-Verse,Black Panther,Private Life,Hereditary,A Simple Favor,Blockers,Mamma Mia! Here We Go Again,Venom
Adam Patterson,The Favourite,If Beale Street Could Talk,The Endless,Blindspotting,Sorry to Bother You,Eighth Grade,Thunder Road,Shoplifters,Spider-Man: Into the Spider-Verse,Black Panther
Kevin Rakestraw,Happy as Lazzaro,The Wolf House,If Beale Street Could Talk,Faust,Drift,Black Panther,The Rider,Dim the Fluorescents,Ouroboros,Fail to Appear
Rob Hunter,Blindspotting,Borg vs McEnroe,Shoplifters,Thoroughbreds,Damsel,Happy as Lazzaro,You Were Never Really Here,Vice,Zama,The Tale
John Fink,Roma,Amazing Grace,Sorry to Bother You,Lean on Pete,Minding the Gap,If Beale Street Could Talk,Madeline's Madeline,Support the Girls,Happy as Lazzaro,Vox Lux
Mike Mazzanti,Mandy,Revenge,BlacKkKlansman,Mission: Impossible – Fallout,Sorry to Bother You,Cam,The Ritual,Hell Fest,The Other Side of the Wind,Venom
Jared Mobarak,Custody,Leave No Trace,If Beale Street Could Talk,You Were Never Really Here,Minding the Gap,First Man,Wildlife,American Animals,Madeline's Madeline,Sorry to Bother You
Nick Newman,Lover for a Day,Claire's Camera,The Day After,A Paris Education,First Reformed,Before We Vanish,The Mule,John McEnroe: In the Realm of Perfection,The Green Fog,Let the Sunshine In,24 Frames
Jordan Raup,24 Frames,Let the Sunshine In,Burning,Support the Girls,First Reformed,Mission: Impossible – Fallout,Minding the Gap,Happy as Lazzaro,Western,Summer 1993
Christopher Schobert,If Beale Street Could Talk,Roma,First Reformed,Shoplifters,Cold War,Paddington 2,The Ballad of Buster Scruggs,Burning,The Favourite,Spider-Man: Into the Spider-Verse
Jose Solís,Roma,Burning,A Star Is Born,Cold War,Vox Lux,First Reformed,Sorry to Bother You,If Beale Street Could Talk,Blindspotting,The House That Jack Built
Zhuo-Ning Su,Roma,Shoplifters,Burning,An Elephant Sitting Still,Long Day's Journey Into Night,High Life,The House That Jack Built,Hereditary,Petra,Die Tomorrow
Ryan Swen,First Reformed,The Other Side of the Wind,The Day After,Mission: Impossible – Fallout,The Ballad of Buster Scruggs,Bisbee '17,Burning,Zama,Let the Sunshine In,If Beale Street Could Talk
Adam Kempenaar  (and listen to podcast),If Beale Street Could Talk,Minding the Gap,The Rider,First Reformed,Roma,The Ballad of Buster Scruggs,BlacKkKlansman,Isle of Dogs,Can You Ever Forgive Me?,The Death of Stalin
Josh Larsen  (in haiku form),Isle of Dogs,Roma,First Reformed,Sorry to Bother You,Zama,BlacKkKlansman,Private Life,Game Night,"Hale County This Morning, This Evening",Leave No Trace
Tasha Robinson  (and listen to podcast),BlacKkKlansman,The Death of Stalin,The Favourite,Spider-Man: Into the Spider-Verse,Bad Times at the El Royale,The Ballad of Buster Scruggs,Mid90s,Marrowbone,Apostle,If Beale Street Could Talk
Adam Frazier,Upgrade,Annihilation,A Star Is Born,Spider-Man: Into the Spider-Verse,BlacKkKlansman,Suspiria,Assassination Nation,Avengers: Infinity War,Bumblebee,Bad Times at the El Royale
Jason Bailey,You Were Never Really Here,If Beale Street Could Talk,Leave No Trace,Private Life,Blindspotting,First Reformed,Roma,Burning,The Ballad of Buster Scruggs,BlacKkKlansman
Flood Magazine,First Reformed,Annihilation,Mandy,You Were Never Really Here,Paddington 2,Eighth Grade,The Ballad of Buster Scruggs,Hereditary,Three Identical Strangers,Widows
Dan Hudak,Eighth Grade,If Beale Street Could Talk,Ready Player One,The Favourite,Mission: Impossible – Fallout,Spider-Man: Into the Spider-Verse,First Reformed,The Front Runner,Hereditary,American Animals
Andrew Parker,If Beale Street Could Talk,Roma,Widows,Leave No Trace,BlacKkKlansman,The Rider,First Reformed,Burning,Shoplifters,Support the Girls
Barry Hertz,Roma,Widows,You Were Never Really Here,First Man,Burning,Can You Ever Forgive Me?,The Other Side of the Wind,Shirkers,Free Solo,Mission: Impossible – Fallout,Maison du Bonheur,Spider-Man: Into the Spider-Verse
The Guardian,Roma,Leave No Trace,Loveless,Eighth Grade,Private Life,Black Panther,The Favourite,Can You Ever Forgive Me?,Cold War,Widows
Peter Bradshaw,Roma,A Star Is Born,Cold War,Leave No Trace,Western,Zama,Hereditary,Coco,Widows,Phantom Thread
Candice Frederick,Roma,If Beale Street Could Talk,Widows,Suspiria,The Tale,Black Panther,Blindspotting,Won't You Be My Neighbor?,Crazy Rich Asians,What They Had
Borys Kit,Black Panther,Spider-Man: Into the Spider-Verse,A Quiet Place,Avengers: Infinity War,Mission: Impossible – Fallout,Revenge,Annihilation,Paddington 2,Overlord,Hereditary
Stephen Farber,Roma,Leave No Trace,The Rider,Three Identical Strangers,If Beale Street Could Talk,Boy Erased,Free Solo,Shoplifters,The Hate U Give,The Wife
Jon Frosch,Burning,Minding the Gap,Shoplifters,Roma,If Beale Street Could Talk,Leave No Trace,Private Life,The Favourite,First Man,A Star Is Born
Caryn James,Roma,The Favourite,Cold War,BlacKkKlansman,The Death of Stalin,At Eternity's Gate,Shoplifters,Leave No Trace,Sorry to Bother You,Happy as Lazzaro
Sheri Linden,Shoplifters,Roma,Burning,Can You Ever Forgive Me?,Leave No Trace,Three Identical Strangers,Lean on Pete,If Beale Street Could Talk,Cold War,En el Septimo Dia
Todd McCarthy,Vice,Roma,Can You Ever Forgive Me?,Cold War,Free Solo,Burning,Eighth Grade,The Rider,Shoplifters,The Other Side of the Wind
Michael Rechtshaffen,Roma,Black Panther,BlacKkKlansman,Minding the Gap,Won't You Be My Neighbor?,The Favourite,Can You Ever Forgive Me?,Burning,Spider-Man: Into the Spider-Verse,Paddington 2
David Rooney,Roma,The Favourite,Shoplifters,If Beale Street Could Talk,Burning,Cold War,First Man,The Death of Stalin,Can You Ever Forgive Me?,Isle of Dogs
Frank Scheck,The Favourite,A Star Is Born,Roma,BlacKkKlansman,Green Book,Won't You Be My Neighbor?,The Death of Stalin,Shoplifters,Three Identical Strangers,First Reformed
Cary Darling,Roma,The Rider,Black Panther,You Were Never Really Here,Blindspotting,Minding the Gap,If Beale Street Could Talk,Widows,Wildlife,Burning
Matthew Jacobs,The Favourite,Can You Ever Forgive Me?,Widows,Sorry to Bother You,Suspiria,A Star Is Born,Eighth Grade,Annihilation,Roma,The Old Man and the Gun
Col Needham,Wild Rose,Ready Player One,Cold War,Life Itself,Colette,A Quiet Place,Black Panther,Bohemian Rhapsody,Green Book,Ocean's Eight
In Review,The Other Side of the Wind,First Reformed,The House That Jack Built,Let the Sunshine In,Support the Girls,Zama,You Were Never Really Here,The Day After,Golden Exits,If Beale Street Could Talk
The Independent,Roma,Phantom Thread,You Were Never Really Here,Lady Bird,The Shape of Water,Leave No Trace,A Star Is Born,The Rider,Cold War,Black Panther
David Ehrlich View video countdown,First Reformed,Paddington 2,Madeline's Madeline,Shoplifters,The Tale,Burning,Mission: Impossible – Fallout,If Beale Street Could Talk,Wildlife,Mandy
Eric Kohn,The Favourite,Roma,The Death of Stalin,First Reformed,Sorry to Bother You,Private Life,Burning,Madeline's Madeline,If Beale Street Could Talk,Free Solo
Germain Lussier,Spider-Man: Into the Spider-Verse,Hereditary,Black Panther,A Quiet Place,Sorry to Bother You,Mandy,Paddington 2,Annihilation,Anna and the Apocalypse,Mission: Impossible – Fallout
Chris Wasser,A Star Is Born,The Shape of Water,Lady Bird,American Animals,A Quiet Place,Leave No Trace,First Man,BlacKkKlansman,Michael Inside,You Were Never Really Here
"Donald Clarke, Tara Brady",Loveless,Cold War,Mandy,Hereditary,Lady Bird,Climax,Sorry to Bother You,The Rider,Custody,The Lonely Battle of Thomas Reid
Cameron Williams,Roma,The Shape of Water,Hereditary,The Ballad of Buster Scruggs,Private Life,The Rider,Black Panther,Shirkers,You Were Never Really Here,First Man
L. Kent Wolgamott,A Star Is Born,Roma,Black Panther,The Ballad of Buster Scruggs,Let the Sunshine In,The Favourite,BlacKkKlansman,Blaze,The Rider,The Death of Stalin
Little White Lies,Zama,Roma,The House That Jack Built,First Reformed,Leave No Trace,If Beale Street Could Talk,The WIld Pear Tree,You Were Never Really Here,Burning,The Miseducation of Cameron Post
Justin Chang,Burning,First Reformed,Zama,Black Panther,Private Life,If Beale Street Could Talk,The Rider,Western,Shoplifters,Happy as Lazzaro
Mark Olsen,If Beale Street Could Talk,Zama,Private Life,Support the Girls,Widows,The Favourite,Burning,Madeline's Madeline,BlacKkKlansman,The Other Side of the Wind
Harry Fletcher,A Star Is Born,Lady Bird,Widows,Roma,"Three Billboards Outside Ebbing, Missouri",Leave No Trace,Hereditary,You Were Never Really Here,BlacKkKlansman,A Quiet Place
Angie Han,Eighth Grade,The Favourite,First Man,Spider-Man: Into the Spider-Verse,If Beale Street Could Talk,Roma,Black Panther,Hereditary,Can You Ever Forgive Me?,To All the Boys I've Loved Before
Marc Doyle (Editor in Chief),The Rider,Roma,Green Book,Hereditary,Blindspotting,Minding the Gap,First Reformed,Leave No Trace,The Sisters Brothers,The Favourite
John Beifuss,Support the Girls,Leave No Trace,Phantom Thread,Faces Places,Hereditary,Sorry to Bother You,BlacKkKlansman,Madeline's Madeline,First Reformed,You Were Never Really Here,Mandy,I Am Not a Witch
Genevieve Koski,The Favourite,Annihilation,The Rider,Support the Girls,Private Life,Eighth Grade,Leave No Trace,Widows,Sorry to Bother You,Bad Times at the El Royale
Keith Phipps,Roma,Annihilation,First Reformed,Burning,If Beale Street Could Talk,Support the Girls,Private Life,Bisbee '17,The Favourite,The Rider
Scott Tobias,Roma,Annihilation,First Reformed,If Beale Street Could Talk,Did You Wonder Who Fired the Gun?,Support the Girls,Burning,The Rider,The Ballad of Buster Scruggs,You Were Never Really Here
Keith Uhlich,24 Frames,Ready Player One,"The X-Files (episode ""Rm9sbG93ZXJz"")",La Flor,The Terror,The Green Fog,If Beale Street Could Talk,"Sense8 (""Amor Vincit Omnia"")",Suspiria,"Monrovia, Indiana",The Ballad of Buster Scruggs
Joanna Langfield,Roma,Minding the Gap,Mary Poppins Returns,Happy as Lazzaro,BlacKkKlansman,Shoplifters,Paddington 2,Leave No Trace,Support the Girls,Private Life
Julian Roman,Roma,BlacKkKlansman,Black Panther,Widows,A Quiet Place,Vice,The Favourite,Mary Poppins Returns,Crazy Rich Asians,Suspiria
Chris Knight,Roma,Burning,BlacKkKlansman,Marlina the Murderer in Four Acts,Spider-Man: Into the Spider-Verse,Anthropocene: The Human Epoch,Can You Ever Forgive Me?,Eighth Grade,A Private War,Hereditary
Kyle Smith,First Man,Blaze,Spider-Man: Into the Spider-Verse,First Reformed,Three Identical Strangers,Roma,Mandy,Black Panther,Free Solo,The Mule
Nerdist,Black Panther,Annihilation,Avengers: Infinity War,Paddington 2,Mission: Impossible – Fallout,Spider-Man: Into the Spider-Verse,Hereditary,Won't You Be My Neighbor?,A Quiet Place,Eighth Grade
Mike Scott,If Beale Street Could Talk,The Favourite,Roma,First Man,The Death of Stalin,Isle of Dogs,Tully,BlacKkKlansman,A Star Is Born,Green Book
Johnny Oleksinski,BlacKkKlansman,A Star Is Born,Paddington 2,A Quiet Place,Spider-Man: Into the Spider-Verse,Crazy Rich Asians,The Favourite,Colette,Can You Ever Forgive Me?,Green Book
Sara Stewart,Eighth Grade,Hereditary,You Were Never Really Here,Leave No Trace,Sorry to Bother You,Blindspotting,First Reformed,Three Identical Strangers,The Favourite,The Rider
Manohla Dargis,Roma,Burning,Shoplifters,Zama,Happy as Lazzaro,BlacKkKlansman,First Reformed,The Death of Stalin,"Monrovia, Indiana",Colophon (for the Arboretum Cycle)
A.O. Scott,(tie) Bisbee '17,"(tie) Hale County This Morning, This Evening",(tie) Minding the Gap,"(tie) Monrovia, Indiana",Happy as Lazzaro,First Reformed,Private Life,Roma,Let the Sunshine In,Can You Ever Forgive Me?,BlacKkKlansman,Capernaum,The Favourite
The New Zealand Herald,Black Panther,A Star Is Born,Annihilation,Hereditary,Incredibles 2,BlacKkKlansman,Lady Bird,Crazy Rich Asians,First Man,You Were Never Really Here
Rafer Guzmán,Roma,Hereditary,Sorry to Bother You,The Favourite,First Reformed,Eighth Grade,Won't You Be My Neighbor?,Black Panther,Can You Ever Forgive Me?,Science Fair
Olly Richards,Lady Bird,Black Panther,"Three Billboards Outside Ebbing, Missouri",Hereditary,Sorry to Bother You,A Star Is Born,The Shape of Water,"Love, Simon",A Quiet Place,Widows
Susan G. Cole,Eighth Grade,Roma,The Hate U Give,Mouthpiece,Private Life,The Favourite,Angels Wear White,The Wife,Widows,Meditation Park
Kevin Ritchie,Madeline's Madeline,Her Smell,Let the Sunshine In,Bisbee '17,High Life,Diamantino,Shirkers,Support the Girls,Sorry to Bother You,Minding the Gap
Radheyan Simonpillai,Burning,Transit,If Beale Street Could Talk,First Reformed,Zama,The Rider,Support the Girls,Shoplifters,Leave No Trace,Widows
Norman Wilner,Roma,If Beale Street Could Talk,Burning,You Were Never Really Here,Sorry to Bother You,Madeline's Madeline,First Reformed,Won't You Be My Neighbor?,Isle of Dogs,Paddington 2
Mark Kermode,Leave No Trace,The Breadwinner,Widows,Cold War,You Were Never Really Here,A Fantastic Woman,The Shape of Water,Jeune Femme,BlacKkKlansman,They Shall Not Grow Old
