Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth
Richard Whittaker,Aviva,Mank,Shithouse,Wolfwalkers,76 Days,The Vast of Night,We Are Little Zombies,Minari,Emma,Host
Charles Bramesco,The Twentieth Century,Shirley,Da 5 Bloods,First Cow,"Bloody Nose, Empty Pockets",Lovers Rock,Time,The Painted Bird,Nomadland,Vitalina Varela
Mike D'Angelo,First Cow,"A White, White Day",The Grand Bizarre,THe Nest,Fourteen,"Red, White and Blue",Tenet,Dick Johnson Is Dead,Lovers Rock,The Old Guard
A.A. Dowd,I'm Thinking of Ending Things,The Assistant,The Climb,First Cow,Fourteen,Nomadland,Time,Lovers Rock,Vitalina Varela,Beanpole
Lawrence Garcia,"I Was at Home, But …",Martin Eden,To the Ends of the Earth,Yourself and Yours,The Traitor,City Hall,Young Ahmed,The Grand Bizarre,Tommaso,The Day After I'm Gone
Jesse Hassenger,Kajillionaire,The Vast of Night,First Cow,Straight Up,Da 5 Bloods,Nomadland,The Invisible Man,Palm Springs,The Assistant,Mank
Beatrice Loayza,Martin Eden,"Bloody Nose, Empty Pockets",Never Rarely Sometimes Always,An Easy Girl,Mangrove,Cuties,Sibyl,Bacurau,Swallow,Sound of Metal
Noel Murray,First Cow,Dick Johnson Is Dead,The Whistlers,Kajillionaire,"Bloody Nose, Empty Pockets",Lovers Rock,Ma Rainey's Black Bottom,Soul,Mank,Nomadland
Vikram Murthi,"Bloody Nose, Empty Pockets",First Cow,The Assistant,"A White, White Day",I'm Thinking of Ending Things,Lovers Rock,The Grand Bizarre,Collective,Tesla,Mank
Katie Rife,Nomadland,Never Rarely Sometimes Always,Shirley,The Assistant,Collective,Lovers Rock,First Cow,Possessor Uncut,"Bloody Nose, Empty Pockets",I'm Thinking of Ending Things
Allison Shoemaker,Nomadland,First Cow,Dick Johnson Is Dead,Time,Never Rarely Sometimes Always,She Dies Tomorrow,Minari,Black Bear,Beanpole,The Forty-Year-Old Version
Caroline Siede,Never Rarely Sometimes Always,The Vast of Night,Nomadland,The Forty-Year-Old Version,First Cow,Beanpole,Sound of Metal,Birds of Prey,I'm Thinking of Ending Things,Minari
Gregory Ellwood,Minari,Nomadland,Pieces of a Woman,Apples,New Order,Soul,Shirley,Promising Young Woman,Never Gonna Snow Again,Mank
Sasha Stone,Mank,Spree,News of the World,Promising Young Woman,Nomadland,Minari,One Night in Miami,On the Rocks,Ma Rainey's Black Bottom,Hillbilly Elegy
Max Weiss,Nomadland,Minari,Bacurau,Never Rarely Sometimes Always,First Cow,On the Rocks,David Byrne's American Utopia,Boys State,Lovers Rock,Promising Young Woman
Edward Douglas,Beastie Boys Story,Promising Young Woman,Corpus Christi,Minari,News of the World,Nomadland,Hamilton,Synchronic,Mulan,Sound of Metal,Pieces of a Woman,One Night in Miami
Ty Burr,Lovers Rock,Nomadland,Never Rarely Sometimes Always,Palm Springs,The Painter and the Thief,I'm Thinking of Ending Things,First Cow,Bacurau,City Hall,"Bloody Nose, Empty Pockets"
Daniel Reynolds,Driveways,"A White, White Day",Dick Johnson Is Dead,Feels Good Man,Palm Springs,The Way Back,First Cow,The Assistant,Inconvenient Indian,Let Him Go
Alan Zilberman,Da 5 Bloods,Collective,Lovers Rock,Nomadland,Never Rarely Sometimes Always,First Cow,David Byrne's American Utopia,"Bloody Nose, Empty Pockets",Martin Eden,The Climb
Staff consensus [December 2020 print edition],City Hall,The Woman Who Ran,Uncut Gems,Malmkrog,Love Affair(s),Hotel by the River,Dwelling in the Fuchun Mountains,The Salt of Tears,Enormous,The August Virgin
Eli Glasner,Mangrove,Dick Johnson Is Dead,Sound of Metal,Wolfwalkers,Nomadland,Palm Springs,Minari,The Painter and the Thief,Blood Quantum,Birds of Prey
David Morgan,First Cow,Nomadland,Never Rarely Sometimes Always,76 Days,Beanpole,Ma Rainey's Black Bottom,Wolfwalkers,Sound of Metal,Soul,Lovers Rock
Dann Gire,Nomadland,Soul,The Trial of the Chicago 7,Minari,Promising Young Woman,Da 5 Bloods,Ma Rainey's Black Bottom,First Cow,Borat Subsequent Moviefilm,The Invisible Man
Richard Roeper,Nomadland,The Trial of the Chicago 7,News of the World,Soul,Da 5 Bloods,The Midnight Sky,Ma Rainey's Black Bottom,Saint Frances,Let Them All Talk,Palm Springs
Michael Phillips,Lovers Rock,First Cow,David Byrne's American Utopia,Nomadland,CIty So Real,Ma Rainey's Black Bottom,The Assistant,Mangrove,The Vast of Night,Never Rarely Sometimes Always
Peter Rainer,David Byrne's American Utopia,A Regular Woman,City Hall,Emma,Fireball: Visitors From Darker Worlds,Ma Rainey's Black Bottom,Miss Juneteenth,Never Rarely Sometimes Always,76 Days,The Vast of Night
Eric Eisenberg,Promising Young Woman,Mank,Soul,I'm Thinking of Ending Things,Ma Rainey's Black Bottom,Spontaneous,Sound of Metal,Blow the Man Down,The Social Dilemma,The Lodge
Sean O'Connell,Soul,Tenet,News of the World,The Kid Detective,Promising Young Woman,Da 5 Bloods,One Night in Miami,The Trial of the Chicago 7,Borat Subsequent Moviefilm,Uncorked
CineVue,Lovers Rock,Possessor Uncut,Mangrove,Da 5 Bloods,Never Rarely Sometimes Always,Nomadland,Shirley,The Forty-Year-Old Version,Host,I'm Thinking of Ending Things
Adam Chitwood,Palm Springs,David Byrne's American Utopia,Nomadland,Promising Young Woman,Lovers Rock,News of the World,Minari,The Vast of Night,Sound of Metal,Mank
Haleigh Foutch,David Byrne's American Utopia,Relic,Birds of Prey,Hamilton,Shirley,Possessor Uncut,Sound of Metal,La Llorona,Palm Springs,Promising Young Woman
Matt Goldberg,Nomadland,Sound of Metal,Promising Young Woman,Lovers Rock,Soul,Palm Springs,Minari,Time,Never Rarely Sometimes Always,The Painter and the Thief
Vinnie Mancuso,Possessor Uncut,The Vast of Night,Sound of Metal,Da 5 Bloods,His House,Promising Young Woman,The Invisible Man,First Cow,Freaky,The Wolf of Snow Hollow
Perri Nemiroff,Nomadland,Palm Springs,The Platform,His House,Host,Spontaneous,Promising Young Woman,Birds of Prey,The Invisible Man,Hamilton
Tom Reimann,Da 5 Bloods,Bill & Ted Face the Music,The Invisible Man,Color Out of Space,Promising Young Woman,Possessor Uncut,His House,The Vast of Night,Freaky,Hunter Hunter
Brad Keefe,Palm Springs,I'm Thinking of Ending Things,Possessor Uncut,Promising Young Woman,Nomadland,Soul,Hamilton,Kajillionaire,On the Rocks,Black Bear
Max Evry,The Vast of Night,Color Out of Space,Zappa,Bill & Ted Face the Music,Onward,Happy Happy Joy Joy: The Ren & Stimpy Story,The Invisible Man,1BR,The Wretched,Wolfman's Got Nards
Grant Hermann,The Wolf of Snow Hollow,Happiest Season,The Invisible Man,Palm Springs,Scare Me,Bill & Ted Face the Music,Uncle Frank,Kajillionaire,The Way Back,Host
Staff,Promising Young Woman,Saint Maud,Da 5 Bloods,Palm Springs,The Gentlemen,Miss Juneteenth,Borat Subsequent Moviefilm,Charm City Kings,The Trial of the Chicago 7,Tenet
Consequence of Sound,Lovers Rock,The Invisible Man,Minari,Da 5 Bloods,Palm Springs,Never Rarely Sometimes Always,Mangrove,Host,Birds of Prey,I'm Thinking of Ending Things
Joshua Brunsting,Lovers Rock,The Cloud in Her Room,The History of the Seattle Mariners,Fourteen,To the Ends of the Earth,Labyrinth of Cinema,The Inheritance,The Woman Who Ran,The Giverny Document,Beginning
Marlow Stern,Dick Johnson Is Dead,Minari,Nomadland,Borat Subsequent Moviefilm,Collective,Lovers Rock,Bacurau,Let Them All Talk,Black Bear,The Old Guard
Nick Chen,Lovers Rock,I'm Thinking of Ending Things,Nomadland,Possessor Uncut,Promising Young Woman,Undine,Rocks,Never Rarely Sometimes Always,Summer of '85,Saint Maud
Pete Hammond,The Trial of the Chicago 7,News of the World,Promising Young Woman,Minari,The Midnight Sky,Mank,Tenet,Borat Subsequent Moviefilm,The Life Ahead,On the Rocks,The Prom
Todd McCarthy,Nomadland,The Father,Promising Young Woman,Dick Johnson Is Dead,Mangrove,Into the Deep,Soul,The King of Staten Island,The Outpost,Devil Between the Legs
Den of Geek,The Trial of the Chicago 7,The Invisible Man,Promising Young Woman,Da 5 Bloods,Palm Springs,Mank,Birds of Prey,Ma Rainey's Black Bottom,Wonder Woman 1984,Nomadland
George Elkind,Martin Eden,City Hall,Lovers Rock,First Cow,The Wild Goose Lake,Young Ahmed,Possessor Uncut,Tommaso,We Are Little Zombies,"Bloody Nose, Empty Pockets"
Adam Graham,Swallow,Promising Young Woman,Dick Johnson Is Dead,Spontaneous,The Forty-Year-Old Version,Black Bear,Father Soldier Son,The Kid Detective,The Painter and the Thief,Hubie Halloween
Empire,Parasite,Portrait of a Lady on Fire,Uncut Gems,Rocks,Saint Maud,The Invisible Man,Lovers Rock,The Lighthouse,Mank,Jojo Rabbit
Leah Greenblatt,Nomadland,Minari,Soul,First Cow,The White Tiger,Emma,Kajillionaire,One Night in Miami,Promising Young Woman,Dick Johnson Is Dead
Nick Schager,Dick Johnson Is Dead,First Cow,I'm Thinking of Ending Things,The Painted Bird,"Bloody Nose, Empty Pockets",Nomadland,The Wild Goose Lake,Martin Eden,Minari,The Assistant
Exclaim!,Nomadland,Feels Good Man,His House,Possessor Uncut,I'm Thinking of Ending Things,Never Rarely Sometimes Always,Dick Johnson Is Dead,Kajillionaire,Sonic the Hedgehog,The Invisible Man
Far Out Magazine,First Cow,Never Rarely Sometimes Always,About Endlessness,Limbo,I'm Thinking of Ending Things,Minari,Nomadland,The Woman Who Ran,A Thousand Cuts,Beanpole
Ken Bakely,First Cow,Martin Eden,Lovers Rock,Wolfwalkers,What the Constitution Means to Me,Blow the Man Down,Nomadland,Driveways,Da 5 Bloods,The Nest
Blake Crane,Sound of Metal,Spontaneous,Never Rarely Sometimes Always,Underwater,Possessor Uncut,Lovers Rock,News of the World,Nomadland,Minari,Palm Springs
Raul de Leon,Mank,Bacurau,A Whisker Away,The Painted Bird,Never Rarely Sometimes Always,Palm Springs,The Painter and the Thief,Rewind,I'm Thinking of Ending Things,The Twentieth Century
Chris Luciantonio,We Are Little Zombies,Possessor Uncut,Da 5 Bloods,I'm Thinking of Ending Things,Small Axe,Never Rarely Sometimes Always,Wolfwalkers,She Dies Tomorrow,Sound of Metal,The Wild Goose Lake
Adam Patterson,Minari,The Invisible Man,Promising Young Woman,Bill & Ted Face the Music,The Wolf of Snow Hollow,David Byrne's American Utopia,Possessor Uncut,Jallikattu,Bacurau,Host
Kevin Rakestraw,Talking About Trees,The Grand Bizarre,Time,Jallikattu,Girls Always Happy,First Cow,Never Rarely Sometimes Always,Bacurau,Residue,The Twentieth Century
Film School Rejects,Nomadland,First Cow,Minari,Lovers Rock,Possessor Uncut,Never Rarely Sometimes Always,Sound of Metal,The Vast of Night,The Assistant,One Night in Miami
Adam Kempenaar,Lovers Rock,First Cow,One Night in Miami,Sound of Metal,The Painter and the Thief,The Truffle Hunters,Mank,The Trip to Greece,I'm Thinking of Ending Things,Ma Rainey's Black Bottom
Josh Larsen,Lovers Rock,Soul,First Cow,Vitalina Varela,Relic,Dick Johnson Is Dead,The Assistant,The Forty-Year-Old Version,"Bloody Nose, Empty Pockets",Mangrove
Matt Cipolla,Promising Young Woman,The Assistant,I'm Thinking of Ending Things,Never Rarely Sometimes Always,Vitalina Varela,First Cow,Black Bear,The Nest,Swallow,Time
John Fink,City Hall,Mangrove,Nomadland,Time,Never Rarely Sometimes Always,Welcome to Chechnya,First Cow,A Sun,Minari,"Red, White and Blue"
Logan Kenny,To the Ends of the Earth,Da 5 Bloods,Undine,First Cow,Nomadland,Siberia,Bloodshot,Palm Springs,The Way Back,Never Rarely Sometimes Always
Jared Mobarak,Sound of Metal,Babyteeth,I'm Thinking of Ending Things,Collective,New Order,Shadow of Violence,One Night in Miami,She Dies Tomorrow,Never Rarely Sometimes Always,Ma Rainey's Black Bottom
Jordan Raup,Time,First Cow,Lovers Rock,Vitalina Varela,Tesla,Mayor,Never Rarely Sometimes Always,City Hall,Hill of Freedom,Yourself and Yours,Collective
Christopher Schobert,Education,Lovers Rock,David Byrne's American Utopia,Sound of Metal,Ema,I'm Thinking of Ending Things,Promising Young Woman,Another Round,The Twentieth Century,Emma
Zhuo-Ning Su,Nomadland,The Metamorphosis of Birds,Beginning,Never Rarely Sometimes Always,Shirley,The Disciple,Da 5 Bloods,The Whaler Boy,Lovers Rock,The Story of Southern Islet
Ryan Swen,Martin Eden,To the Ends of the Earth,Fourteen,The Grand Bizarre,"I Was at Home, But …",The Traitor,Heimat Is a Space in Time,First Cow,Vitalina Varela,The Whistlers
Adam Frazier,Spontaneous,Promising Young Woman,Nomadland,The Vast of Night,Blow the Man Down,The Invisible Man,Minari,Possessor Uncut,Feels Good Man,Color Out of Space
Flickering Myth,Mangrove,Birds of Prey,Tenet,Saint Maud,Black Bear,Da 5 Bloods,Another Round,Possessor Uncut,The Invisible Man,Never Rarely Sometimes Always
Flood Magazine,Dick Johnson Is Dead,First Cow,Time,Da 5 Bloods,Palm Springs,Shirley,Emma,Sound of Metal,Bacurau,Boys State
Barry Hertz,First Cow,Nomadland,The Platform,She Dies Tomorrow,I'm Thinking of Ending Things,Tenet,Da 5 Bloods,David Byrne's American Utopia,Lovers Rock,The Nest,Minari,Saint Frances,"Bloody Nose, Empty Pockets",The Painter and the Thief,Bacurau,Martin Eden,Sound of Metal,The Vast of Night,Borat Subsequent Moviefilm,The Trial of the Chicago 7
Consensus picks [U.S. list],Nomadland,Soul,Collective,Minari,The Father,First Cow,The Assistant,Mank,Never Rarely Sometimes Always,The Nest
Matt Delman,First Cow,Minari,Borat Subsequent Moviefilm,Nomadland,Straight Up,S#!%thouse,Bad Education,Martin Eden,The King of Staten Island,"World of Tomorrow, Episode III"
Candice Frederick,On the Record,Assassins,Minari,Miss Juneteenth,Relic,Sylvie's Love,Da 5 Bloods,Tigertail,Promising Young Woman,The Donut King
HeadStuff,Parasite,Uncut Gems,Portrait of a Lady on Fire,The Lighthouse,Possessor Uncut,Host,I'm Thinking of Ending Things,The Personal History of David Copperfield,Waves,Bliss
Jon Frosch,Never Rarely Sometimes Always,Nomadland,An Easy Girl,Ammonite,Promising Young Woman,The Forty-Year-Old Version,The Climb,Beanpole,The Surrogate,Da 5 Bloods
Sheri Linden,Beanpole,Gunda,Never Rarely Sometimes Always,Promising Young Woman,One Night in Miami,Bacurau,76 Days,First Cow,Ammonite,The Forty-Year-Old Version
David Rooney,David Byrne's American Utopia,First Cow,Never Rarely Sometimes Always,Ammonite,Beanpole,Minari,Promising Young Woman,Nomadland,Lovers Rock,Bacurau
Cary Darling,Nomadland,Lovers Rock,Soul,A Sun,The Father,Sound of Metal,One Night in Miami,Beasts Clawing at Straws,Time,The Trial of the Chicago 7
Matthew Jacobs,Nomadland,Promising Young Woman,Minari,Dick Johnson Is Dead,First Cow,Kajillionaire,Bad Education,David Byrne's American Utopia,Bacurau,The Forty-Year-Old Version
Hyperallergic,Time,Bacurau,Small Axe,Dick Johnson Is Dead,First Cow,Vitalina Varela,I May Destroy You,"Bloody Nose, Empty Pockets",Never Rarely Sometimes Always,Shirley
Sean McBride,Nomadland,Minari,One Night in Miami,Ma Rainey's Black Bottom,Mank,Soul,The Trial of the Chicago 7,Never Rarely Sometimes Always,Miss Juneteenth,Dick Johnson Is Dead
Mike Wass,The True History of the Kelly Gang,Beanpole,Possessor Uncut,First Cow,Synonyms,Babyteeth,Corpus Christi,The Truth,Relic,Never Rarely Sometimes Always
Col Needham,Tenet,The Trial of the Chicago 7,Promising Young Woman,Sylvie's Love,Ammonite,Mank,Another Round,One Night in Miami,Misbehaviour,Shirley
Keith Simanton,One Night in Miami,Tenet,Hamilton,Ammonite,Shadow in the Cloud,News of the World,Nomadland,Another Round,Palm Springs,The Invisible Man
In Review Online,To the Ends of the Earth,Vitalina Varela,Martin Eden,First Cow,Lovers Rock,Yourself and Yours,Da 5 Bloods,I'm Thinking of Ending Things,Liberté,Fourteen
Clarisse Loughrey,Parasite,Jojo Rabbit,Shirley,Portrait of a Lady on Fire,Lovers Rock,I'm Thinking of Ending Things,Uncut Gems,Vitalina Varela,The Assistant,And Then We Danced
David Ehrlich  Watch  Ehrlich's annual video coutdown,Time,Minari,"World of Tomorrow, Episode III",Never Rarely Sometimes Always,I'm Thinking of Ending Things,Bacurau,Nomadland,David Byrne's American Utopia,Bad Education,Swallow
Eric Kohn,First Cow,Lovers Rock,Collective,Nomadland,Never Rarely Sometimes Always,Time,The Climb,The Mole Agent,Borat Subsequent Moviefilm,Bacurau
Anne Thompson,Nomadland,Da 5 Bloods,The Trial of the Chicago 7,One Night in Miami,Ma Rainey's Black Bottom,Never Rarely Sometimes Always,David Byrne's American Utopia,Lovers Rock,Farewell Amor,I'm Thinking of Ending Things
Donald Clarke and Tara Brady,The Personal History of David Copperfield,The Painted Bird,Parasite,Bacurau,Uncut Gems,Portrait of a Lady on Fire,The Lighthouse,The Assistant,Relic,Never Rarely Sometimes Always
Chris Bumbray,Sound of Metal,Nomadland,Tenet,Mank,I'm Thinking of Ending Things,Synchronic,Palm Springs,Possessor Uncut,The Invisible Man,The Gentlemen
JimmyO,Promising Young Woman,Love and Monsters,Nomadland,The Invisible Man,Sound of Metal,Beastie Boys Story,Possessor Uncut,Aviva,The Trial of the Chicago 7,Never Rarely Sometimes Always
Matt Rooney,Minari,Nomadland,The Personal History of David Copperfield,Wolfwalkers,Ma Rainey's Black Bottom,The Invisible Man,Palm Springs,Promising Young Woman,Sound of Metal,Lovers Rock
Chad Byrnes,The Nest,The Sound of Metal,News of the World,Mank,Possessor Uncut,I'm Your Woman,The Assistant,Bad Education,The Bee Gees: How Can You Mend a Broken Heart,The Invisible Man
Lina Lecaro,Da 5 Bloods,Cuties,Miss Americana,Hillary,The Go-Go's,Birds of Prey,Emma,Beastie Boys Story,Color Out of Space,Stardust
Chuck Wilson,Driveways,Time,The Truth,Swallow,Residue,Straight Up,My Dog Stupid,Crip Camp,The 24th,River CIty Drumbeat
Little White Lies,Small Axe,Nomadland,First Cow,Promising Young Woman,About Endlessness,Shirley,Never Rarely Sometimes Always,Time,I'm Thinking of Ending Things,Rocks
Justin Chang,Vitalina Varela,Time,Nomadland,First Cow,Martin Eden,I'm Thinking of Ending Things,City Hall,Collective,Never Rarely Sometimes Always,Beanpole
Angie Han,Never Rarely Sometimes Always,First Cow,Da 5 Bloods,Time,Lovers Rock,I'm Thinking of Ending Things,Promising Young Woman,She Dies Tomorrow,Palm Springs,The Trial of the Chicago 7
Juan Antonio Barquin,Circle Jerk,David Byrne's American Utopia,Dry Wind,Shirley,I'm Thinking of Ending Things,Possessor Uncut,Time,Keep Your Hands Off Eizouken!,Ride Your Wave,Driveways
Joshua Rothkopf,Martin Eden,Nomadland,I'm Thinking of Ending Things,Kajillionaire,Mangrove,The Nest,Welcome to Chechnya,The Invisible Man,Dick Johnson Is Dead,Bacurau
Scott Tobias,Dick Johnson Is Dead,The Assistant,First Cow,Lovers Rock,Nomadland,Bacurau,"Bloody Nose, Empty Pockets",I'm Thinking of Ending Things,Beanpole,The Nest
Julian Roman,Nomadland,Soul,Borat Subsequent Moviefilm,The Kid Detective,Minari,First Cow,Never Rarely Sometimes Always,Ma Rainey's Black Bottom,Da 5 Bloods,Small Axe
Staff,Soul,The Invisible Man,Wonder Woman 1984,I'm Thinking of Ending Things,Onward,Birds of Prey,The Trial of the Chicago 7,Ma Rainey's Black Bottom,Borat Subsequent Moviefilm,The King of Staten Island
Kyle Smith,Onward,The Gentlemen,The Forty-Year-Old Version,Ma Rainey's Black Bottom,The Father,Apocalypse '45,Desert One,Balloon,On the Rocks,Crock of Gold
Mike Scott,First Cow,The Trial of the Chicago 7,Time,Nomadland,Promising Young Woman,Ma Rainey's Black Bottom,Soul,"Bloody Nose, Empty Pockets",News of the World,Mank
Ryan Gilbey,Parasite,Babyteeth,End of the Century,The Invisible Man,Dark Waters,Collective,Portrait of a Lady on Fire,Mank,Lynn+Lucy,His House
Johnny Oleksinski,Mank,Boys State,The King of Staten Island,The Trial of the Chicago 7,On the Rocks,Da 5 Bloods,Onward,Pieces of a Woman,Palm Springs,The Personal History of David Copperfield
Sara Stewart,Promising Young Woman,Nomadland,News of the World,I'm Thinking of Ending Things,The Vast of Night,Host,The Trial of the Chicago 7,Crip Camp,Mucho Mucho Amor,Minari
Manohla Dargis,Martin Eden,City Hall,Gunda,David Byrne's American Utopia,Bacurau,First Cow,Never Rarely Sometimes Always,Collective,The Forty-Year-Old Version,Beanpole
A.O. Scott,Borat Subsequent Moviefilm,City Hall,Collective,First Cow,Martin Eden,The Forty-Year-Old Version,Palm Springs,Bacurau,David Byrne's American Utopia,Lovers Rock,Dick Johnson Is Dead,Soul
Richard Brody  (account required),Kajillionaire,Da 5 Bloods,The Whistlers,Dick Johnson Is Dead,An Easy Girl,Never Rarely Sometimes Always,On the Rocks,Lovers Rock,Time,City Hall
Stephen Whitty,Nomadland,The Father,Never Rarely Sometimes Always,Sorry We Missed You,First Cow,Welcome to Chechnya,Martin Eden,Mank,On the Rocks,Da 5 Bloods
NME,Da 5 Bloods,Parasite,Uncut Gems,David Byrne's American Utopia,Tenet,Hamilton,Rocks,Host,Birds of Prey,Saint Maud
Kevin Ritchie,"Bloody Nose, Empty Pockets",She Dies Tomorrow,An Easy Girl,Lovers Rock,Black Bear,The Inheritance,The 40-Year-Old Version,On the Rocks,Cuties,Feels Good Man
Radheyan Simonpillai,First Cow,Lovers Rock,Residue,Nomadland,Gunda,I'm Thinking of Ending Things,Time,Collective,Rocks,Hamilton
Norman Wilner,Nomadland,Minari,Portrait of a Lady on Fire,Collective,Sound of Metal,Never Rarely Sometimes Always,First Cow,David Byrne's American Utopia,"Bloody Nose, Empty Pockets",Dick Johnson Is Dead
Mark Kermode,Saint Maud,Portrait of a Lady on Fire,Parasite,Relic,Clemency,Never Rarely Sometimes Always,Rocks,Saint Frances,Wolfwalkers,The Personal History of David Copperfield
Pajiba,Promising Young Woman,First Cow,Sound of Metal,Wolfwalkers,Saint Frances,One Night in Miami,Nomadland,Small Axe,Bacurau,Never Rarely Sometimes Always
Samuel R. Murrian,Ma Rainey's Black Bottom,Nomadland,David Byrne's American Utopia,Relic,Lovers Rock,Promising Young Woman,Wolfwalkers,Never Rarely Sometimes Always,The Trial of the Chicago 7,One Night in Miami
Paste,Nomadland,Sound of Metal,First Cow,Soul,Martin Eden,Wolfwalkers,The Vast of Night,Lovers Rock,His House,Time
Al Alexander,Never Rarely Sometimes Always,Nomadland,Mank,The Assistant,I'm Thinking of Ending Things,Beanpole,Sorry We Missed You,Boys State,Palm Springs,The Painted Bird
Tom Gliatto,Soul,Palm Springs,Bad Education,Hamilton,News of the World,Ma Rainey's Black Bottom,Black Is King,Tenet,On the Rocks,Da 5 Bloods
Sean Collier,The Forty-Year-Old Version,Da 5 Bloods,Minari,Soul,Never Rarely Sometimes Always,Sound of Metal,Promising Young Woman,Ma Rainey's Black Bottom,I'm Thinking of Ending Things,The Lodge
The Playlist,Nomadland,First Cow,Never Rarely Sometimes Always,I'm Thinking of Ending Things,David Byrne's American Utopia,Sound of Metal,Da 5 Bloods,Lovers Rock,Dick Johnson Is Dead,Minari
Reverse Shot,Days,Martin Eden,Time,"I Was at Home, But …",Bacurau,Vitalina Varela,Never Rarely Sometimes Always,Lovers Rock,First Cow,Malmkrog,To the Ends of the Earth
Sean Fennessey and Adam Nayman,Lovers Rock,Mangrove,Mank,First Cow,Boys State,I'm Thinking of Ending Things,The Vast of Night,Time,Nomadland,Vitalina Varela,Soul
Simon Abrams,Son of the White Mare,Vitalina Varela,I Wish I Knew,The Wild Goose Lake,Time,On the Rocks,"I Was at Home, But …",Jallikattu,The Twentieth Century,The 11th Green
Carlos Aguilar,Wolfwalkers,Nomadland,Minari,A Sun,I'm No Longer Here,The Climb,I Carry You With Me,The Wolf House,Sound of Metal,Los Lobos
Nick Allen,Da 5 Bloods,Spree,Nomadland,The Climb,Lovers Rock,Dick Johnson Is Dead,Driveways,Rent a Pal,Boys State,Coded Bias
